"featureId","module","feature","scopeClassification","implementationClassifications","intendedInternAccess","documentationClassification","platformClassifications","role","mode","route","criticality","applicable","evidence"
"auth.login","Acceso, cuenta y experiencia transversal","Inicio de sesión válido e inválido","required_dependency_of_studio_workflow","implemented_and_accessible","available_with_intern_or_public_test_identity","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Intern","security","/login","critical","true","tdf-hq-ui/src/routes/protectedRoutes.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"auth.session","Acceso, cuenta y experiencia transversal","Persistencia y vencimiento de sesión","required_dependency_of_studio_workflow","implemented_and_accessible","available_with_intern_or_public_test_identity","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Intern","security","/inicio","critical","true","tdf-hq-ui/src/routes/protectedRoutes.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"auth.logout","Acceso, cuenta y experiencia transversal","Cierre de sesión y bloqueo de retroceso","required_dependency_of_studio_workflow","implemented_and_accessible","available_with_intern_or_public_test_identity","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Intern","security","/inicio","high","true","tdf-hq-ui/src/routes/protectedRoutes.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"account.state","Acceso, cuenta y experiencia transversal","Cuenta activa, suspendida o incompleta","required_dependency_of_studio_workflow","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Admin de pruebas","security","/inicio","critical","true","tdf-hq-ui/src/routes/protectedRoutes.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"navigation.discovery","Acceso, cuenta y experiencia transversal","Menú, buscador y descubrimiento de funciones","required_dependency_of_studio_workflow","implemented_and_accessible","available_with_intern_or_public_test_identity","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Intern","read","/inicio","high","true","tdf-hq-ui/src/routes/protectedRoutes.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"navigation.direct-url","Acceso, cuenta y experiencia transversal","Acceso por URL directa y recarga","required_dependency_of_studio_workflow","implemented_and_accessible","available_with_intern_or_public_test_identity","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Intern","security","/estudio/calendario","high","true","tdf-hq-ui/src/routes/protectedRoutes.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"localization.es-en","Acceso, cuenta y experiencia transversal","Consistencia entre español e inglés","shared_with_another_tdf_business_area","partially_implemented","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Intern","read","/inicio","medium","true","tdf-hq-ui/src/routes/protectedRoutes.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"responsive.layout","Acceso, cuenta y experiencia transversal","Diseño adaptable y web móvil","shared_with_another_tdf_business_area","implemented_and_accessible","available_with_intern_or_public_test_identity","implementation_and_route_evidence_documented","mobile_web_fallback","Intern","read","/estudio/calendario","high","true","tdf-hq-ui/src/routes/protectedRoutes.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"accessibility.baseline","Acceso, cuenta y experiencia transversal","Teclado, foco, etiquetas, contraste y escala de texto","shared_with_another_tdf_business_area","partially_implemented","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Intern","read","/inicio","high","true","tdf-hq-ui/src/routes/protectedRoutes.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"crm.customers","CRM, contactos y oportunidades","Crear, editar y consultar clientes ficticios","required_dependency_of_studio_workflow","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","mutation","/crm/contactos","high","true","tdf-hq-ui/src/pages/PartiesPage.tsx | tdf-hq-ui/src/pages/LeadsPage.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
