method,path,authentication_boundary,mapped_feature_id,mapped_action,action_rule_present,interface_disposition,authorization_evidence,source_aliases,source
POST,/academy/enroll,public-root,technical.course-registration,submit,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > AcademyAPI,tdf-hq/src/TDF/Routes/Academy.hs:116
GET,/academy/microcourse/{slug},public-root,technical.course-public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > AcademyAPI,tdf-hq/src/TDF/Routes/Academy.hs:116
POST,/academy/progress,public-root,technical.course-registration,submit,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > AcademyAPI,tdf-hq/src/TDF/Routes/Academy.hs:116
GET,/access-requests,authenticated-root,access-requests.mine,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AccessRequestsAPI,tdf-hq/src/TDF/API.hs:527
POST,/access-requests,authenticated-root,access-requests.create,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AccessRequestsAPI,tdf-hq/src/TDF/API.hs:527
PATCH,/access-requests/{requestId}/cancel,authenticated-root,access-requests.mine,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AccessRequestsAPI,tdf-hq/src/TDF/API.hs:527
PATCH,/access-requests/{requestId}/decision,authenticated-root,access-requests.review,approve,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AccessRequestsAPI,tdf-hq/src/TDF/API.hs:527
GET,/access-requests/review,authenticated-root,access-requests.review,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AccessRequestsAPI,tdf-hq/src/TDF/API.hs:527
GET,/admin/activity,authenticated-root,admin.activity,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ActivityAPI,tdf-hq/src/TDF/API/Admin.hs:137
GET,/admin/artists/{artistId}/promotions,authenticated-root,label.artists,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistPromotionAdminAPI,tdf-hq/src/TDF/API/Admin.hs:70
POST,/admin/artists/{artistId}/promotions,authenticated-root,label.artists,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistPromotionAdminAPI,tdf-hq/src/TDF/API/Admin.hs:70
DELETE,/admin/artists/{artistId}/promotions/{promotionId},authenticated-root,label.artists,delete,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistPromotionAdminAPI,tdf-hq/src/TDF/API/Admin.hs:70
PUT,/admin/artists/{artistId}/promotions/{promotionId},authenticated-root,label.artists,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistPromotionAdminAPI,tdf-hq/src/TDF/API/Admin.hs:70
GET,/admin/artists/{artistId}/promotions/report,authenticated-root,label.artists,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistPromotionAdminAPI,tdf-hq/src/TDF/API/Admin.hs:70
GET,/admin/artists/{artistId}/promotions/report/pdf,authenticated-root,label.artists,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistPromotionAdminAPI,tdf-hq/src/TDF/API/Admin.hs:70
POST,/admin/artists/enrichment/artists/{artistId}/rerun,authenticated-root,admin.artist-enrichment,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistEnrichmentAdminAPI,tdf-hq/src/TDF/API/Admin.hs:94
POST,/admin/artists/enrichment/media,authenticated-root,admin.artist-enrichment,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistEnrichmentAdminAPI,tdf-hq/src/TDF/API/Admin.hs:94
GET,/admin/artists/enrichment/overview,authenticated-root,admin.artist-enrichment,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistEnrichmentAdminAPI,tdf-hq/src/TDF/API/Admin.hs:94
GET,/admin/artists/enrichment/runs,authenticated-root,admin.artist-enrichment,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistEnrichmentAdminAPI,tdf-hq/src/TDF/API/Admin.hs:94
POST,/admin/artists/enrichment/sources,authenticated-root,admin.artist-enrichment,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistEnrichmentAdminAPI,tdf-hq/src/TDF/API/Admin.hs:94
PATCH,/admin/artists/enrichment/suggestion-sets/{artistId},authenticated-root,admin.artist-enrichment,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistEnrichmentAdminAPI,tdf-hq/src/TDF/API/Admin.hs:94
POST,/admin/artists/enrichment/suggestions,authenticated-root,admin.artist-enrichment,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistEnrichmentAdminAPI,tdf-hq/src/TDF/API/Admin.hs:94
PATCH,/admin/artists/enrichment/suggestions/{suggestionId},authenticated-root,admin.artist-enrichment,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI > ArtistEnrichmentAdminAPI,tdf-hq/src/TDF/API/Admin.hs:94
GET,/admin/artists/profiles,authenticated-root,label.artists,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI,tdf-hq/src/TDF/API/Admin.hs:79
POST,/admin/artists/profiles/{artistProfileId}/connect/onboarding-link,authenticated-root,label.artists,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > ArtistAdminAPI,tdf-hq/src/TDF/API/Admin.hs:79
GET,/admin/brain/entries,authenticated-root,admin.brain,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > BrainAdminAPI,tdf-hq/src/TDF/API/Admin.hs:140
POST,/admin/brain/entries,authenticated-root,admin.brain,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > BrainAdminAPI,tdf-hq/src/TDF/API/Admin.hs:140
PATCH,/admin/brain/entries/{entryId},authenticated-root,admin.brain,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > BrainAdminAPI,tdf-hq/src/TDF/API/Admin.hs:140
GET,/admin/commerce/provider-events,authenticated-root,admin.commerce-provider-events,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CommerceOperationsAPI,tdf-hq/src/TDF/API/CommerceOperations.hs:55
POST,/admin/commerce/provider-events/{eventId}/replay,authenticated-root,admin.commerce-provider-events,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CommerceOperationsAPI,tdf-hq/src/TDF/API/CommerceOperations.hs:55
POST,/admin/communications/email/registered-users,authenticated-root,admin.campaign-automations,publish,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > UserCommunicationsAPI,tdf-hq/src/TDF/API/Admin.hs:56
POST,/admin/communications/whatsapp/{messageId}/resend,authenticated-root,admin.campaign-automations,publish,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > UserCommunicationsAPI,tdf-hq/src/TDF/API/Admin.hs:56
POST,/admin/courses,authenticated-root,admin.course-registrations,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:510
GET,/admin/courses/{slug}/registrations/{registrationId},authenticated-root,admin.course-registrations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:510
GET,/admin/courses/{slug}/registrations/{registrationId}/dossier,authenticated-root,admin.course-registrations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:510
POST,/admin/courses/{slug}/registrations/{registrationId}/follow-ups,authenticated-root,admin.course-registrations,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:510
